derby,5_61,5,start
derby,5_61,5,prune.includes,-sampler-include-method=-org.apache.derbyTesting.functionTests.harness.CopySuppFiles--void-copyFiles-java.io.File,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.CurrentTime--java.lang.String-getTime--- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.JavaVersionHolder--boolean-atLeast-int,int-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.JavaVersionHolder--void--init--java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--boolean-isClientConnection-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--boolean-isDB2Connection-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--boolean-isJCCConnection-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--java.lang.String-alterURL-java.lang.String,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--java.lang.String-getDriverName-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--boolean-verifyFramework-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--java.lang.String-createPropString--- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--org.apache.derbyTesting.functionTests.harness.JavaVersionHolder-getProperties-java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-cleanupBaseDir-java.io.File-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-doCleanup-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-encryptionProtocol-java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-frameworkProtocol-java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-main-java.lang.String[]-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-mergeProps-java.util.Properties,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-setDirectories-java.lang.String,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-testRun-java.lang.String,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-verifyTestType--- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.SkipTest--boolean-skipIt-java.lang.String,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.SpecialFlags--void-parse-java.lang.String,java.util.Properties,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.util.TestUtil--java.lang.String-getHostName--- -sampler-include-method=-org.apache.derbyTesting.functionTests.util.TestUtil--void--clinit----
derby,5_61,5,prune.functions.count,0
derby,5_61,5,prune.preprocess.size,160088
derby,5_61,5,prune.preprocess.time,596
derby,5_61,5,prune.preprocess.number,121 
derby,5_61,5,prune.preprocess.time_p,475.0
derby,5_61,5,prune.mine.size,5824
derby,5_61,5,prune.mine.time,2417
derby,5_61,5,boost.profile.time,488669
derby,5_61,5,boost.profile.size,2067
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/derby/versions/v5/subv61/boost/output.sites
derby,5_61,5,boost.profile.number,5836
derby,5_61,5,prune.profile.time,499764
derby,5_61,5,prune.profile.size,1385
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/derby/versions/v5/subv61/prune/output.sites
derby,5_61,5,prune.profile.number,3582
derby,5_61,5,end
